source_dsa_id,destination_center_id,flow_count
ALOB-OP1,ALUA-TX1,12
AROR-OP1,ARUA-TX1,6
AZOB-OP1,AZGS-TX1,1
AZOB-OP1,AZMC-TX1,29
CAOP-OP1,CACL-TX1,2
CAOP-OP1,CACS-TX1,15
CAOP-OP1,CALL-TX1,10
CADN-OP1,CAPC-TX1,1
CADN-OP1,CAPM-TX1,10
CASD-IO1,CASD-TX1,9
CADN-OP1,CASF-TX1,18
CAGS-OP1,CASM-TX1,8
CADN-OP1,CASU-TX1,2
CAOP-OP1,CAUC-TX1,12
CAOP-OP1,CAUH-TX1,15
CORS-OP1,COPM-TX1,8
CORS-OP1,COUC-TX1,10
MAOB-OP1,CTYN-TX1,3
MDPC-OP1,DCGU-TX1,11
MDPC-OP1,DCGW-TX1,5
FLMP-OP1,FLCC-TX1,10
FLFH-IO1,FLFH-TX1,4
FLMP-OP1,FLJM-TX1,11
FLUF-IO1,FLSL-TX1,4
FLWC-OP1,FLTG-TX1,10
FLUF-IO1,FLUF-TX1,26
GALL-OP1,GAEM-TX1,16
GALL-OP1,GAPH-TX1,13
HIOP-OP1,HIQM-TX1,1
IAOP-OP1,IAIV-TX1,2
ILIP-OP1,ILCM-TX1,1
ILIP-OP1,ILLU-TX1,9
ILIP-OP1,ILNM-TX1,15
ILIP-OP1,ILPL-TX1,3
ILIP-OP1,ILUC-TX1,10
INOP-OP1,INIM-TX1,12
MWOB-OP1,KSUK-TX1,6
KYDA-OP1,KYUK-TX1,8
LAOP-OP1,LAOF-TX1,6
LAOP-OP1,LAWK-TX1,2
MAOB-OP1,MABI-TX1,11
MAOB-OP1,MALC-TX1,9
MAOB-OP1,MAMG-TX1,15
MAOB-OP1,MANM-TX1,4
MAOB-OP1,MAUM-TX1,3
MDPC-OP1,MDJH-TX1,2
MDPC-OP1,MDUM-TX1,6
MIOP-OP1,MIBH-TX1,8
MIOP-OP1,MICH-TX1,1
MIOP-OP1,MIHF-TX1,16
MIOP-OP1,MIUM-TX1,8
MNOP-OP1,MNMC-TX1,10
MNOP-OP1,MNUM-TX1,10
MOMA-OP1,MOBH-TX1,14
MWOB-OP1,MOCM-TX1,1
MOMA-OP1,MOSL-TX1,5
MSOP-OP1,MSUM-TX1,2
NCCM-IO1,NCCM-TX1,7
NCNC-OP1,NCDU-TX1,11
NCNC-OP1,NCMH-TX1,6
NEOR-OP1,NEUN-TX1,6
NYRT-OP1,NYCP-TX1,9
NYFL-IO1,NYFL-TX1,2
NYRT-OP1,NYMA-TX1,4
NYRT-OP1,NYMS-TX1,26
NYRT-OP1,NYNS-TX1,7
NYRT-OP1,NYNY-TX1,4
NYRT-OP1,NYUC-TX1,5
NYRT-OP1,NYWC-TX1,7
OHLB-OP1,OHCC-TX1,26
KYDA-OP1,OHCM-TX1,2
OHLP-OP1,OHOU-TX1,2
KYDA-OP1,OHUC-TX1,9
OHLB-OP1,OHUH-TX1,8
OKOP-OP1,OKBC-TX1,4
OKOP-OP1,OKMD-TX1,3
ORUO-IO1,ORUO-TX1,6
PADV-OP1,PAAE-TX1,1
PADV-OP1,PAGM-TX1,1
PADV-OP1,PALV-TX1,3
PATF-OP1,PAPT-TX1,2
PADV-OP1,PATJ-TX1,2
PADV-OP1,PAUP-TX1,7
PRLL-OP1,PRSJ-TX1,3
SCOP-OP1,SCMU-TX1,15
TNDS-OP1,TNVU-TX1,9
TXGC-OP1,TXAS-TX1,4
TXSA-OP1,TXBC-TX1,8
TXSB-OP1,TXHD-TX1,5
TXGC-OP1,TXHI-TX1,9
TXSA-OP1,TXHS-TX1,5
TXSB-OP1,TXMC-TX1,9
TXGC-OP1,TXMH-TX1,36
TXSB-OP1,TXSP-TX1,23
TXGC-OP1,TXTC-TX1,3
TXSB-OP1,TXTX-TX1,2
TXGC-OP1,TXVA-TX1,4
UTOP-OP1,UTLD-TX1,28
UTOP-OP1,UTMC-TX1,5
VATB-OP1,VAMC-TX1,10
VATB-OP1,VAUV-TX1,6
WALC-OP1,WASM-TX1,10
WALC-OP1,WAUW-TX1,3
WIDN-OP1,WISE-TX1,3
WIDN-OP1,WISL-TX1,1
WIUW-IO1,WIUW-TX1,12
